[00:05] 让我们有请出阿里云智能高级技术专家
[00:08] 周礼为我们带来分享
[00:09] 让 agent 不再等待
[00:11] 基于rocket mq的异步协作架构实战
[00:14] 我们掌声有请
[00:29] 大家好
[00:31] 我叫周礼
[00:34] 然后我是一直在做分布式消息中间件
[00:37] 就是RocketMQ
[00:38] 我们是一款阿帕奇的开源项目
[00:41] 然后已经是大概2016年的时候
[00:44] 就已经成为阿帕奇开源的顶级项目了
[00:46] 然后我们过去一年多的主要工作
[00:49] 就是在面向AI Agent 层
[00:51] 这个就是大规模部署这个领域
[00:54] 然后做一些新功能和新特性的探索
[00:56] 今天主要就是给大家分享一下
[00:58] 我们在过去一年多在这个领域做的一些
[01:02] 就是面向这个场景的一些功能
[01:03] 以及我们在阿里巴巴集团内
[01:06] 以及在公有云上的一些客户上面
[01:09] 一些用例场景的一些落地
[01:11] 然后给大家介绍一下我们的一些方案
[01:14] 一些实践
[01:14] 这是我今天的分享的那个主要内容
[01:18] 第一个第一部分会给大家介绍一下
[01:21] 就是当前因为我们是做消息中间件的
[01:22] 就是在异步化这个过程中
[01:25] AI Agent的新的业务场景
[01:27] 给我们带来的一些新的业务需求
[01:29] 以及一些以及一些新的挑战
[01:31] 第二个就是我们开基于RocketMQ
[01:33] 开发了一个新的功能
[01:34] 叫做LiteTopic
[01:35] 然后这是我们目前我们把它定义定位于
[01:39] 定位为一个面向AI agent的场景的
[01:43] 一个轻量级的异步消息的事件载体
[01:45] 然后第三个的话我会给大家举个案例
[01:48] 就是怎么基于我们这个LiteTopic来做一个
[01:53] 异步的会话网关
[01:55] 因为这个会话网关就类似于像这种多人交互的
[01:57] 会话网关
[01:58] 目前在AI的应用场景里面
[01:59] 是一个比较常见的例子
[02:01] 我们会我会以企业PPT的形式
[02:03] 简单的给大家介绍一下
[02:04] 这个我们怎么来做这个事情
[02:06] 做一个纯异步
[02:07] 不用等待
[02:07] 可以把资源释放出来的方案
[02:09] 最后的话我会给大家讲两个
[02:11] 具体的一些落地实践
[02:13] 就是以我们真正的用户的一些案例
[02:16] 两个案例来给大家介绍一下
[02:17] 讲两个简单的应用场景
[02:19] 然后这个就是第一部分
[02:22] 就是我们今年
[02:24] 我们可以发现就是几个头部厂商
[02:27] 他们已经开始注意到了
[02:28] 就是这个在我们归归agent应用的企业
[02:33] 规模化部署的时候面临的一些问题
[02:35] 所以像MCP他们在2026年3月份的
[02:38] 他们的Roadmap里面
[02:40] 他们明确的提到了
[02:41] 他们就是未来的这个今年这个今年这个演进
[02:44] 他们不会以里程碑式的方式来发布
[02:47] 而转变为了四个就是优先级的领域
[02:51] 那其中第一条和第二条
[02:53] 就是跟我们我负责的分布式系统是比较
[02:56] 关系比较关系比较明确的
[02:58] 就第一部分他们就是说了
[02:59] 他们要来扩展这个transport 的演进
[03:03] 他们要来
[03:04] 然后以及让MCP的server更方便水平的扩展
[03:08] 这是什么意思
[03:09] 就他们以前提供的MCP的server SDK
[03:11] 它就是并没有去解决一个会话的管理问题
[03:16] 就说一般现在MCP一般来说
[03:18] 如果你做一个集中式的部署
[03:19] 可能多人会话的状态都是存在一台节点上
[03:24] 它没有提供一个
[03:25] 就是能够在多个节点之间共享这个状态的方案
[03:29] 所以这样就会有什么问题
[03:31] 就是当我多轮请求
[03:34] 有请求没有落在同一台机器上的时候
[03:36] 你没有做
[03:37] 然后他就会失去整个上下文
[03:39] 这样的话
[03:41] 他做那个他当他失去上下文的时候
[03:43] 那么就会影响到下一步调用的结果
[03:45] 同时因为这个问题他没有解决
[03:47] 所以他做水平扩展的时候
[03:49] 他就很难去水平的扩展它服务的能力
[03:52] 因为它一定要保证它
[03:53] 所有结果要进到一台机器上
[03:55] 这样的话它就会出现一个性能上的瓶颈
[03:57] 这第然后第二个就MCP
[04:00] 其实在去年还是前年
[04:01] 他就已经提出了一个就是面向实验阶段的task
[04:05] 一一个方面的概念
[04:06] 就类似于像有点像
[04:08] 或者说跟A2A的那个task是类似的
[04:10] 就它的流程是怎样的
[04:11] 就是我去创建一个task
[04:14] 然后再去不停的轮询这个task的状态
[04:18] 最后当它变成完成的时候
[04:20] 然后我来把这个结果收回来
[04:22] 然后这是他目前的一个实验方案
[04:24] 但是呢在这里面他也说了
[04:25] 这是他去年的
[04:27] 就是那个优先级的
[04:28] 第二部分
[04:28] 他说有几个问题
[04:30] 第一个我们没有去定义
[04:32] 一旦任务失败了应该怎么办
[04:34] 第二个就是一旦任务超时过期了
[04:35] 应该怎么应该怎么办
[04:37] 因为大模型的东西嘛慢是肯定的
[04:40] 比有我们传统应用
[04:41] 第二就是它的成本肯定也会比1200高
[04:44] 所以当他失败要重试的时候
[04:45] 这个取舍问题策略怎么样
[04:47] 他们也没有定义
[04:48] 这也是他们今年未来的一个工作
[04:50] 那同样的话它的进
[04:53] 谷歌不管是他们的官方blog还是开发者的blog
[04:56] 都也都提到一个问题
[04:58] 就是长任务、多 Agent 协作的事情
[05:00] 其中就是他举举了个例子
[05:02] 有一篇文章我记得他举了个例子
[05:04] 就是说目前很多就是像那种教学式的恰
[05:08] 那种聊天机器人
[05:09] 就他可能就是不停的把一堆上单点
[05:12] 然后把上下文全部塞给大模型
[05:14] 但是其实到了我们真正企业级的应用之后
[05:17] 当我们的规模越来越大
[05:19] 业务越来越复杂的时候
[05:20] 你可能会发现就是很多业务场景
[05:22] 它可能是要停好几天的
[05:24] 那在这个时候
[05:25] 那么我们就需要一些机制来做一些事件的驱动
[05:29] 然后同时他自己其实一开始就提出了一个
[05:31] A2A的概念
[05:31] 然后要做多 Agent异步分发
[05:33] 然后同时这两这两
[05:36] 然后对MCP他在上个月的一篇文章里面
[05:40] 他就是他提了一篇叫做manager agent的文章里面
[05:44] 他提到还提了个概念
[05:45] 就是要把做一个session log
[05:47] 就是要把session外化
[05:49] session log提供一种能力
[05:51] 我可以去通过类似于像get event或者说get session
[05:55] 这样概念
