[00:00] 大家好，今天是我们现代前端的最后一讲，把我们的前端项目发布到公网，
[00:06] 到目前这节课我们手上是有了一个双页面的Next.js项目，就是上一节我们已经
[00:14] 提交过的那个ZeroTech，但是它现在还只能在我们自己电脑上的Localhost
[00:21] 上跑，这一节呢我们就把它正式部署上线，不过在动手之前先有一道选择题要做
[00:30] 。一个Next.js项目怎么上线，其实有两种方式，我们先把这两种方式跟大家讲一讲，
[00:38] 然后选定一种，顺便说一句，这一节已经没有配套的demo了，我们就在已有的项目上动手
[00:46] ，前提呢是你上一节往Next.js的那个迁移已经做完了。我们先接着上一节那个说
[00:54] ，上一节结尾呢我们说了一个事儿，就是next build，它默认产生的那个构建
[01:02] 目录里面，就是这个，这里面虽然说也
[01:10] 有这个，我们上一节好像还没有给它做构建，我们给它做一下构建。上一节我们
[01:19] 构建的是在我们demo里面构建的，搬迁过来之后还没有做构建。
[01:29] 对，然后我们看啊，这个构建完成的这个目录里面，虽然
[01:37] 说也有这个index.html和这个text-lab.html，但是它不能像我们之前Vite的那个dist
[01:45] 目录一样，直接交给nginx，这是为什么呢？我们可以看到这个它特别乱，
[01:51] 是不是有很多的这个文件我们也不知道是干嘛的。那实际上呢是因为，它现在不是
[02:00] 一个网站文件夹，而是一堆构建的半成品。CSS和JS呢散落在各处，它凑不成
[02:08] 一个干净的网站根目录，里面还混着一些只有服务器才能看懂的东西。这一堆东西，
[02:15] 它就不是给nginx用的，它是给下一步，那个next start这个步骤用的。
[02:23] 那你可能会问，为什么这个next要这么搞，把这个目录，把这个构建完之后的这个目录搞
[02:31] 得这么复杂呢？这个就得说回上一节我们简单提过的一个概念，叫做服务端组件。
[02:38] 我们再快速的捋一下哈，next它把React组件呢分成了两类，客户端组件和服务
[02:46] 端组件。客户端组件呢，就是要在浏览器里面跑起来的那种，它得响应用户的像点击啊，
[02:54] 改状态，波动化这些操作。所以呢，它就会被翻译成JS，送到浏览器里面去执行嘛。
[03:01] 那服务端组件，它就不需要在浏览器里面跑，纯粹呢是把界面画出来给人看。
[03:08] 它在服务端或者说构建的时候，就能够把界面画成HTML，浏览器直接拿到成品，
[03:16] 连JS都不用送。那像这个构建之后产生的这个目录呢，就是这个server下面的app里面
[03:24] 的东西。这些是不是在构建呢？这些是不是在构建的时候就已经画好了呢？
[03:29] 对我们这个项目来说，是的，因为我们的数据全部都写死在前端嘛。Next呢，
[03:36] 它在构建的时候就能够把每一页画成HTML，存在这儿。然后我们构建的时候，
[03:42] 这里面的这提示的，就是我们构建的这个资源。但是就算他们画好了，也还是不能直接交给ng
[03:50] inx，原因就是刚才那两条，整包这个next,
[03:56] 就是点next的这个目录，都是按照未给next-start那个服务的标准和结构来去
[04:04] 存放的，并不是一个直接能够发的干净的静态站。也就是说，其实它是期待我们接下来构
[04:13] 建之后执行这个命令的。那next默认为什么非要我们去跑这样的一个服务呢？
[04:21] 因为这个服务它其实能干一件静态文件干不了的事儿。就是对于这个服务，
[04:25] 它其实能干一件静态文件干不了的事儿。所以我们就要去动态页面，按照每个请求，
[04:29] 当场在服务器里面现化出来。每次的数据可能都不一样，我们的这个项目没有动态页，
[04:35] 用不上这个本事。但是next默认是冲着通用去的，就默认给备了这个服务。
[04:42] 我们来看这个动画。首先我们假设有一个用户A，他在这个客户端，这个浏览
[04:50] 器里面去请求服务器。然后我们服务器这边呢，它是可以根据用户的，身份去准备
[04:58] 对应的内容，然后根据请求回来的特定内容在服务器上渲染好针对于
[05:06] A这个用户的HTML。然后呢，把这个匹配这个用户的内容直接返回给客户端的这个
[05:15] 浏览器。明白了吗？就是这个意思，这个功能它很强，但是呢，我们这个项目就没有这个必要了
[05:23] 。如果说我们就是想要和以前一样，把一个，类似dist这样的静态文件目录直接给到nginx,
[05:30] 那怎么办呢？如果我们不想要用这个机制，其实next也给了另外一条路，
[05:37] 做一个这个叫做outputexport这样的配置。这个配置呢，就等于告诉next.
[05:45] js，就是我每一页在构建的时候都给我画好，别再给我留服务了，直接打包成一个干净的静态文件夹，
[05:52] 我直接交给nginx就可以了。所以这样的情况下，一个next项目上线就有了两条路可以选。
[06:00] 第一条，我们暂且就叫它a，这个呢，就是跑一个常驻的next服务，就是用npm
[06:08] runstart在服务器上启动next自带的那个node服务，由它来去接住每一个用户的请求，
[06:16] 然后服务整个网站。点next的这一堆半成品，其实正好就是喂给它的，
[06:21] 这个服务很强，它最强的就是刚才我们说的，它可以在服务中，在服务上按照不同的请求去画出来
[06:29] 不同的html给到客户端，这个是静态导出的这种做不到的，也正是因为如此呢，
[06:37] 它是next默认的，也是主流的部署方式，但是它有代价，服务器上得有一个node进程，
[06:45] x小时的常驻，那我们的网站就如果选了这种，就不再是一堆静态文件了，
[06:52] 而是成了一个一直跑着的程序，这种呢，更重，其实是很重要的。因此呢，
[06:57] 也会更费服务器的计算资源。第二种呢，我们暂且就叫它b,b这个方案呢，
[07:03] 它就是静态导出一个文件夹，在构建的时候呢，直接就吐出来一个干净的项目目录，
[07:11] 里面每一个html文件都已经预渲染好了，整体呢，就跟我们之前见过的那个dist一个样，
[07:19] 以一个这种文件夹的形式交给nginx去转发，服务器上呢，就不用再去常驻任何服务了。
[07:26] 服务器上只需要有一个nginx就行。那这种呢，它的代价就是，它相比于a这个方案，
[07:32] 它没有办法在请求的环节去灵活地调整页面的内容，更适合呢，内容和结构在构建的时候就能确定下来的
[07:40] 网站。像这种如果说需要动态内容呢，一般是让浏览器再去发请求去取。那我们怎么
[07:48] 选呢？走静态的这种，一般是适合那种构建的时候就能确定下来的，比如说纯展示站。
[07:56] 然后博客或者是文档。还有呢，就是静态前端再加上后端API这种方式。
[08:04] 走这种常驻服务的呢，是那些页面的HTML本身，它必须在服务器上按照每一个请求，
[08:11] 当场拼出来才行的那一类的。典型的呢，就是海量的，又时时变的，还要被搜索引擎收录的那种，
[08:18] 像电商啊，新闻啊，社媒啊，这种重内容的站点。不过这里面还要注意啊，
[08:24] 就是内容是动的。动态的，它不等于就是必须要走那种常驻服务的。像是登录注册
[08:32] 或者是读数据库实时的数值展示这些动态功能，绝大多数呢，也都是可以用静
[08:41] 态的前端加后端API去做的。页面就还是用静态的文件，数据呢，是浏览器事后
[08:49] 去找接口现取的。这里面呢，有几个名词啊，就我们还没有学过，比如说像API。
[08:56] 像登录注册或者是读数据库这些。那怎么理解呢？我们可以看一下这个视力动画。
[09:04] 这种静态的呢，可以是这样，第一步是用户来去请求我们的服务器来去获
[09:12] 得我们的这个静态资源，那就是HTML,CSS和JS嘛。浏览器加载之后
[09:20] 呢，根据JS里面的指示，它就向对应的后端API发布。这个时候它已经知道页面里面
[09:28] 比如说要显示一个情感分数了，但是它不知道分数是谁，它要再去请求一下。
[09:34] 然后呢，在这一个后端服务里面再拿到一个结果，比如说。，它就拿到这个值再显示
[09:43] 在页面里面。对于我们的这个LilTech项目呢，数据是目前是全部都硬编码在前端的
[09:51] 嘛，就算后面讲到后端，接了后端的接口，我们也计划用这个后端的接口。
[09:56] 这种静态前端再加上后端API的方式来去
[10:00] 所以我们在这一节选择前端部署方案的时候就选择这种静态部署的方式没必要再去养
[10:08] 一台常驻的这种node服务器我们就直接构建一次然后构建出来一堆的这种静态文件然后
[10:16] nginx一转发这样又轻又稳而且呢还跟我们前面几节是用同一套的这种发布方式好
[10:25] 那我们选定了用这种静态前端发布的方法剩下的事就跟我们在.那
[10:33] 一节部署Vite那个版本的时候几乎就一模一样了但是有两个地方会有一些不同第一个是
[10:41] 我们Build出来的产物它不会进入到一个叫做Dist的目录里面而是会进入到一个叫
[10:49] 做out这样的一个目录里面我们要往这个项目里面添加一行这个配置这个咱们前面也说过那
[10:57] 第二呢是我们原来的那个nginx它指向的是dist嘛我们要给它改成指
[11:06] 向out并且呢我们要加一句try_files下面呢我们就把这两个都落地首先我们让
[11:14] 我们的next项目在去构建的时候直接就能够构建出来静态资源文件我们得做一个配置在
[11:22] 哪里呢在这里找到这个next-config这一个配置这里面有一个这个
[11:30] next-config是吧它里面是一个空的大括号我们在空的大括号里面去按一下回车键然后
[11:39] 呢在这里面写什么呢写outputexport就加这一行然后保存它
[11:47] 就是告诉我们的这个next.js构建完之后呢不要留给那台常驻的start
[11:56] 服务了直接把每一页都渲染成静态的HTML连同资源一起都塞进一个叫做out的
[12:04] 文件夹里面好在这个保存之后呢我们就去做一次构建这个
[12:22] out就已经产生了我们看到了吧这个还是比较干净的我们要去访问的主要的页面像
[12:31] index.html或者是这个text-lab.html就都在这里我们可以直接
[12:39] 把这个out这个目录就当做我们的这个静态资源给到nginx不过这里面
[12:47] 提醒一个就是其实这个out它也是要进入这个gitignore的如果我们
[12:55] 想要在服务器上获得一个out那怎么办那我们就在服务器上进行一次构建
[13:04] 我们先把这个项目先把这个配置的改动给提交了找到我们上一节的这个
[13:12] 现在呢就是我们刚才做了一个改动嘛加了这个配置那我们在这里就写一下
[13:20] 我们的这个提交支持静态构建好
[13:32] 接下来呢就跟上一节的那个一起去发布先push到我们的github
[13:40] 接下来呢我们登录到我们的服务器上g
[13:50] ithub
[13:58] 接下来呢我们执行一下npm install
[14:07] 先把依赖装上然后执行构建我们先把那个out
[14:16] 给它构建出来npm runbuild好
[14:27] 我们现在检查一下是不是已经有out看到没已经有了那按照这个第一步我们
[14:36] 构建出来这个out已经完成了下一步呢就是我们要去配置nginx让它从
[14:44] 原来的dist现在指向我们的out我们先进入这个ETC
[14:52] nginx然后sites-enabled好我们接下
[15:01] 来就编辑一下default好
[15:09] 看到原来它这个root指向的是dist我们就在这里编辑给它改成out并
[15:17] 且我们还有一个改动就是我们要进入到这个location下面去找到这个
[15:25] try_files给它添加一个就是在这个$uri后面
[15:33] 添加一个$uri.html这个是干什么
[15:42] 的呢这个的意思我们看这里它的意思就是说按照我UR
[15:50] L里面请求的那个地址去在这个out下面找如果说我没有
[15:58] 声明你就给我返回index.html如果我声明了你就在这个out里面找现在的问题是什么
[16:06] 呢现在的问题是我们out目录里面其实不会有一个叫做textlab的文件
[16:14] 我们只会有一个叫做text-lab.html的文件这样的话呢我们在这里写这个的意思就是说如果
[16:23] 找不到textlab那么你就去找text-lab.html那正好就可以找到我们
[16:31] 的那个文件这个时候就可以不会再有了好那我们在这里写完它之后呢我们这个配置文件就已经编辑好了
[16:39] 保存退出下一步我们就是执行sudo nginx
[16:47] 短线tOksuccessful然后下一个是
[16:55] sudo systemctl reload nginx
[17:03] 好，启动成功那我们部署完成了，我们去验证一下
[17:11] 好接下来我们就去刷新一下这个是可以
[17:19] 的没问题不会再报了那我们再去控制台里面再去看一看现在
[17:28] 如果我们请求会是怎么样的直接看这个看到没它就不
[17:36] 需要让JS再去现化了而是直接把我们的页面内容一次性的就在第一个请求
[17:44] 里面就给到我们了我们看个人主页其实也一样我们刷新一下也是看到吧
[17:52] 直接我们第一个请求就已经拿到我们的资源了这个时候我们就不怕那些搜索引擎的爬
[18:01] 虫第一个请求什么都拿不到了好的我们回头看一眼这条路我们是怎么一
[18:09] 步一步走过来的首先是.的那一节我们把一个React版的一个项目部署上线但是
[18:17] 上线之后我们发现这个页面其实是浏览器临时画的于是呢就埋下了三个毛病
[18:26] .这一节呢我们就把每一页都预渲染成一个真实的html这样呢就从根上拔掉了那
[18:34] 三个毛病的病根但是当时我们还做不到静态的部署.也就是这节课我们就用一个配置
[18:42] 这个outputexport把这些真实的HTML导出到out这个目录里面
[18:50] 然后呢给到nginxnginx呢直接就把静态的资源发给浏览器那顺便说一下以后如果
[18:59] 是改完代码再去发布的这个流程像commit然后push接下来服务
[19:07] 器上再去拉然后再去构建工程上这一套拉代码加构建的做法是
