[00:00] 大家好，欢迎来到零到全栈系列课程，今天咱们讲现代前端的第二讲，前端构建。
[00:08] 在课程开始之前，我想先表达一下感谢。
[00:12] 今天B站提醒我说充电粉丝已经有十位了，建议我做一些回馈，但其实已经不止十位了。
[00:20] 另外我也一直想做一些回馈，但是还没想好什么形式。
[00:25] 咱们这个课程呢是免费的
[00:28] 我暂时也不打算给它转成充电专属的视频
[00:31] 我有个朋友说
[00:32] 你要不表演个才艺吧
[00:35] 但是我现在其实也没有时间做这个准备
[00:39] 我做这个技术教学的视频也比较慢
[00:42] 咱们零到全栈这个课程
[00:45] 现在都是一节赶着一节录制的
[00:48] 所以思来想去
[00:49] 我就在这里口头表达一下感谢吧
[00:52] 感谢这些位充电粉丝
[00:54] 当然还有非常非常多在评论弹幕私信里面
[00:59] 给我支持和鼓励的朋友们
[01:01] 我刚刚开始做这套课程一个多月
[01:03] 收获了这么多的关注和支持
[01:07] 非常的感谢大家
[01:08] 我也尽量不辜负大家的期望
[01:10] 把互联网软件开发这个领域内
[01:13] 晦涩难懂的这些技术概念
[01:15] 尽量的口头话的跟大家讲清楚
[01:18] 不过
[01:19] 由于能力有限
[01:21] 我相信这个课程里面
[01:22] 尽管我一直在review我的内容
[01:25] 但难免也可能存在一些不周全的地方
[01:28] 比如说之前有一些英文单词念错
[01:31] 或者是音频处理
[01:33] 有一些杂音之类的
[01:34] 也希望大家给予指正
[01:36] 希望大家能够学得开心
[01:38] 并且有所收获
[01:40] 能够用这些知识充实自己的生活
[01:44] 那我们接下来就回到这节的课程
[01:46] 上一节4.1
[01:48] 我们给项目做了模块化的改造
[01:51] 迈出了现在前端的第一步
[01:52] 那这一节
[01:54] 我们开始学一些有意思的工具
[01:57] 什么工具
[01:58] 就是这三个
[01:59] 这一节
[02:00] 我们开始会用到NPM和Vite
[02:03] 然后你还会了解到Node.js
[02:06] 学习如何使用这些工具
[02:08] 性价比超级高
[02:10] 尤其是NPM
[02:12] 今天咱们一节课学会
[02:14] 以后
[02:15] 无论是做前端开发
[02:17] 还是玩一些开源的工具
[02:18] 你都能够用得到
[02:20] 在介绍新工具之前
[02:22] 我们还是回顾一下
[02:23] 我们上一节课改造的那个
[02:25] zero2tech项目
[02:27] 我们对它的JS文件做了模块化改造
[02:30] 大家还记得吧
[02:31] 在上一节的时候
[02:33] 我也一直在说模块化重要重要
[02:36] 以及按照模块化改造完成之后
[02:39] 我们的代码之间的引用关系
[02:41] 变得清晰和优雅
[02:44] 但是
[02:45] 那我问你
[02:46] 你真的会有这个感觉吗
[02:48] 没错
[02:49] import和export机制
[02:51] 的确是一个很好的规矩
[02:52] 它让JS代码之间的引用
[02:55] 变得清晰
[02:56] 但是从开发者的角度来说
[02:59] 我们的开发体验变好了吗
[03:01] 其实不仅开发体验不好
[03:03] 我觉得大家在听上一节课的时候
[03:05] 学习体验也不怎么好
[03:07] 为什么
[03:08] 因为上一节课
[03:09] 咱们一直在学规矩
[03:11] 而且虽然说咱们不学习写代码
[03:14] 但是还是看了各种import和export
[03:18] 如果说不打算学习写代码
[03:21] 那上一节课
[03:22] 你可能也会觉得学得很累
[03:24] 甚至可能会感觉到没学会
[03:27] 如果说你觉得没学会
[03:29] 那其实也没关系
