[00:00] 大家好今天咱们讲现代前端的第三讲React这个前端开发框架我们先
[00:08] 简短的回顾一下上节课上一节特别的重要如果你还不懂什么是前端构建工具你一定要
[00:17] 先把上一节看了理解了构建工具的能力之后再看咱们这节课的内容为什么说上一节课很
[00:25] 重要呢因为如果说你已经理解了前端的构建那么你就会具备一个很重要的认知那
[00:33] 就是构建工具它是一个翻译官这个咱们上一节已经说过构建工具干的事就是让开
[00:41] 发者按照自己舒服的方式写代码然后它在背后帮开发者把写出来的东西翻译成浏览
[00:49] 器需要的样子那我们顺着这个思路再进一步的想既然构建工具能翻译
[00:57] 那么我们是不是干脆就别再老老实实的写浏览器的那套底层的HTMLCSS和JS
[01:05] 了我们是不是可以发明一套写起来更舒服更高效的新的规则呢浏览器认不认识我们
[01:13] 的写法都无所谓只要构建工具能帮我们翻译那么它最终就能够呈现对吧整套前端开
[01:22] 发的老规则全部都不用完全发明一套新的规则这个想法是不是很大胆对吧是很大胆但是
[01:30] 它确实也可行因为只要构建工具能去做这个转换就可以了这就等于说把构建工具的能
[01:38] 力炸到极致而且这个想法虽然说听起来有点疯狂但是其实这就是现代前端框架的基本
[01:46] 逻辑而且呢这还不是某一个人或者某一个组织异想天开的想法早就已经有许许多多的人
[01:55] 这么想过而且也这么做过了我给大家看个东西我们看上一
[02:03] 节课我们用到的那个Vite的官网这个是官网的首
[02:12] 页你看啊这首页里面有这样的一句话Powering your favorite frameworks
[02:20] andtools这个底下呢密密麻麻列了一二十个logo这里面每一个差不多就是一套这样
[02:28] 的新规则这个底下呢常见的你可能听过的啊比如说这些都是前面的课
[02:36] 程里面在评论区里面有人问过的那这些框架要解决的事儿其实大同小异就是发
[02:44] 明了一套写起来更舒服的写法然后呢交给构建工具去做翻译只不过各家的写
[02:53] 法不太一样而已这张图里面最左边的这个像六瓣花一样的就是React的写法React的logoReact
[03:01] 呢就是我们这节课要讲的框架那到这儿肯定有朋友要问了为什么是React而不是
[03:09] Vue呢这个问题在我们讲今天这节课之前就已经在评论区里面被问过好几回了今天呢咱们就
[03:17] 在这儿一次说清楚说完呢就放下首先它俩是同一类的东西React和Vue
[03:25] 呢都是前端框架要解决的问题呢也是一模一样的只不过写法不一样就像上海话和粤语说
[03:33] 同一件事但是腔调不一样那么不存在说学了一个就放弃了另外一个你把其中的一个的道理吃
[03:41] 透另外一个呢也很快就能够触类旁通那我们为什么就挑了这个React呢这两个框架都非常的
[03:50] 优秀没有高下Vue呢它是在国内用户很多上手也比较平缓中文的文档写得
[03:58] 好那我们选React呢主要是因为它在全球范围内最流行生态最大这个我给大家看数字
[04:06] 我们上另外一个网站npm trends这个呢是统计N
[04:14] PM上各个包的下载量我们先看一看这个React我们再看一下
[04:23] Vue你看光是下载量这一项Re
[04:31] act就是Vue的好多倍这说明什么呢这说明有更多的项目是基于React来做的所以呢它的
[04:40] 生态更大一些至于生态这个事儿到底有多重要这节课最后我会专门说这儿呢你先记住
[04:48] 我们挑React图的就是它这个又大又厚的这个生态那顺便我们也看一下Vite的下
[04:56] 载
[04:59] 这个绿色的就是Vite的下载量我们会发现Vite这一年的下载量基本
[05:07] 和这个React持平或者是同一个量级Vite的作者尤雨溪其实也是Vue的作
[05:15] 者同一个人既做了React最大的竞争对手Vue又做了不同的框架都在用的Vite所以可
[05:23] 见这些工具之间其实也是一套相互搭配的生态不存在说非此即彼那对我们
[05:32] 来说选哪个真的没那么重要咱们这门课的核心的也不是语法我们主要是还是
[05:40] 先理解概念因为只要理解了概念我们就能够指挥AI把事给做了嘛这两套框架用到的一些概念比如
[05:49] 说组件状态数据驱动界面这一套逻辑都是完全相通的我们就先挑一个把概念吃透这个
[05:58] 才是你听完这个课真正能带的走的东西好那回到我们的课程刚才我们反复提到一个词前
[06:06] 端框架那框架到底是个什么呢接下来我们就正式破一下这个闷框架
[06:15] 其实就是一套规则管某一摊事的一套规则而已React是一个前端框架
[06:23] Vue也是一个前端框架这些前端框架管的是UI组件的框架组件这一摊事等到后面我们讲后端的时候
[06:31] 我们还会见到web框架那个是管另一摊事的规则所以以后再看到软件开发里面出现框架
[06:39] 这个词我们就把它理解成一套规则就可以了那React定义了什么样的规则呢其实它的
[06:47] 核心思想就是把用户界面定义成一个一个的组件这些组件把界面的数据
[06:56] 结构样式行为这些都包在这个组件里面并且呢组件可以像搭积木一样组合或者
[07:04] 是嵌套这个和原来写HTML的时候就不一样了因为以前写HTML是基于页面来写
[07:12] 的我们把页面结构保存到HTML里面然后把样式保存到CSS里面把行为保存到JS里面但是
[07:20] 对于React的思想呢是基于组件来组织和管理项目它的管理单元是组件自从有了
[07:28] 框架之后现在一些比较大一些的项目基本都是用框架来写的但是原来那种不用框架的写法呢也没有
[07:36] 过时现在很多vibe coding的slides之类的基本都是不用框架的这种不用框架的写法
[07:45] 呢一般就被叫做vanilla。vanilla指的就是不依赖任何第三方框架就
[07:53] 使用浏览器原生支持的HTMLCSS和JavaScript来建设功能的前端开发方式
[08:01] 我们今天这节课之前写的那些页面都可以算vanilla。vanilla这个词啊在英文里面是香草的意思为什么
[08:09] 用这个词呢因为买冰淇淋的时候那种基础的默认的口味一般就是香草味的所以软件行业里面
[08:17] 就借用了这个词来表示原生的没有添加额外框架或者大规模扩展的版本不仅前端有
[08:26] 这种叫法操作性的方法呢操作系统里面也有什么vanillaandroidvanillaLinux游戏里面也有vanilla
[08:33] minecraft这个就是一种叫法大家了解一下就行了以后再遇到这个词你懂它是啥意思就OK但是大家
[08:41] 别因为这个词较真啊我以前在网上见过有人吵架说什么只要用了第三方库就不能叫vanilla这个
[08:49] 真的没有必要争论我们看到这个词就把它当成没有用框架的项目就可以了那不过说回框架啊它还有一个
[08:57] 知识点我们得强调一下就是无论现在有多少前端框架无论前端框架里面定义了多少
[09:06] 规则浏览器它是不管这些的浏览器永远都只认htmlcssjs
[09:14] 这三样这一点呢从来都没有变过React呢也没有抛弃这三件套它就是在这三件套上面加
[09:22] 了一层更舒服的作者层你按照React的方式去写构建工具呢在背后把它编译回这
[09:31] 三样然后再喂给浏览器所以React这种写法它绝对离不开构建工具没有构建工具那套翻译的工
[09:39] 序浏览器根本就不认React写出来的东西那这也正是为什么我在设计这套课程的时候是先讲
[09:47] 构建然后再讲React那React到底怎么用呢咱们接下来就把它落到项目中既然React是一套新
[09:55] 规则那么我们就关注怎么把这套规则放到
[10:00] 装入我们的项目里面具体操作层面其实也平平无奇就是会用到npm去装几个包还记得
[10:08] 上节课我们用到的那个npm install命令吗跟我们装那个anime.
[10:14] js的方法是一样的都是用npm装进来的只不过React管的事更核心更大装上这几个包
[10:22] 我们的项目就拿到了React的那套规则就能够用它来写界面了另外还有一个事刚才我们
[10:30] 说React写出来的东西乱了些不认是吧得靠构建工具翻译回HTML三件套那这还有一个
[10:38] 问题就我们现在的构建工具用的是Vite那么Vite凭什么就知道怎么去翻译React
[10:46] 呢所以React它还会把如何将自己翻译成基础前端的这个规则告诉V
[10:55] ite然后Vite只要照着这套规则去翻译就行了所以你看啊框架等于规则这一
[11:03] 句话其实有两层含义对于我们开发者来说它是一套更舒服的语法规则而对于构建工具来说
[11:11] 它还附带了一层就是怎么把这种写法翻译回基础前端的规则那Vite具体
[11:19] 靠什么来执行这套规则呢要靠一个插件下面的我们就把React装到项目里面并且顺
[11:27] 手把这个插件做好把插件给装上好我们找到上一节课完成的那个项目哈我们用
[11:36] 那个VSCode把它打开放大
[11:44] 一下接下来
[11:53] 我们在终端里面找到这个项目的目录
[11:58] 其实这个VSCode它本身也带了一个终端就在这里这个终端跟我们
[12:07] 电脑上自己的终端命令它其实是一样的你可以用
[12:15] 这个但是它这个位置我觉得不太方便演示所以我们就仍然还是用电脑自带的终
[12:23] 端来去做演示
[12:28] 再放大一点好
[12:44] 首先我们先确认一下我们现在是在我们的这个项目里面然后呢第一步是装React本身在项
[12:52] 目根目录里面就敲这个npm install然后呢Re
[13:00] act不止React还有一个React短线DOM好这个命令呢你如果
[13:08] 是不想敲其实你也可以在咱们的课间里面去找到就在
[13:14] 到全站然后这个里面React这一节找
[13:23] 到这个把React装进项目这里面就有这个命令你直接在这里复
[13:31] 制就可以npm installReact和ReactDOM那我们执行它
[13:40] 好看到这个呢就说明已经装好了我们看一下这个package.
[13:48] json里面已经有React和ReactDOM了是吧那这两个就是React的两个核心包然后
[13:56] 我们把刚才说的那个翻译插件也装上在哪里呢我们可以看到这里面也有这个命令是
[14:04] 吧就这个插件复制然后安装这个
[14:12] 插件的名字呢叫做@vitejs/plugin-react好
[14:23] 这个也装好了我们看一看这个里面现在也有了是吧注意啊装只是把这个
[14:31] 插件下载到了我们的本地的这个node_modules但是它还不能直接生效接下来我们
[14:39] 还得告诉Vite把这个插件给挂上怎么挂呢我们得新建一个文件这个文件叫做Vite
[14:47] .config.js我们也可以在课件里面去找到vite.config.
[14:54] js
[14:57] 就在这里新建newfile然后创建这个文件这里面写什么内容呢在课件里面能找到啊把
[15:05] 这个就直接贴进去Ctrl+S保存注意
[15:15] 啊上一节课的时候我们是不需要这个文件的因为上一节课我们没有用框架上一节课的构建过程
[15:23] 呢Vite就用默认的配置就能跑现在我们要给Vite加这个框架这个配置所以要新建这个文件那里
[15:31] 面写的就是这个东西这个文件干的事就是把刚才我们装的这个插件挂进了那个
[15:39] Vite里面所以你看这是两步啊上一步是install就是安装这个是把插件下载到了
[15:47] 我们本地的node_modules那这一步把它挂上去让它生效两步都做了现在呢Vite就可以看得懂RE
[15:56] AD代码了并且呢可以去构建React代码了好环境被起了我们开始动手改造那我们
[16:04] 看一看这个啊这一节有配套的代码你可以通过这两行代码第一行
[16:12] 是把这个示例代码拉到本地就是这个zero2tech-demos第二
[16:20] 行呢是打开我们这一节的代码目录这个Demos呢就放在
[16:27] 这个github仓库里面这是一个public的所以呢你自己可以下载跟我们。
[16:34] 那一节的时候下载的方式一样那这个代码呢我是已经把它给我看一下好
[16:49] 这个代码呢我是已经把它给拉到我本地了那我就直接用这个访达打
[16:57] 开它吧好现在看到的呢就是我们这个示例代码这里面有一个-
[17:05] 的那我们就直接进入直接进入这一个好这就是我们-的代码这个关
[17:13] 掉这是一个已经改造完成的
[17:21] React版的网站咱们这节课呢就是把上节课的项目改造成React项目改造完成之后
[17:29] 呢就是这个样子但是注意啊这个是这节课的最终答案但我们不要直接无脑的抄答案因为抄完之后
[17:37] 什么都学不到我们就在目前已有的代码的基础上一点一点的改最后
[17:46] 把我们现有的代码一步一步的做成这个样子等会呢我也会一点一点的讲需要用到哪一个
[17:54] 文件我们就直接从这个demo里面把对应的文件copy过来我们这门课呢不教写代码所以呢你就跟着步骤
[18:03] 去搬文件然后呢搬一点文件改一改配置改完跑起来看现象理解背后的原理这样改呢虽然会
[18:11] 有点费劲啊但毕竟是学习嘛我们亲眼看着一个React项目怎么样从无到有一层一层长出来我觉得
[18:19] 这个要比直接拿一个建好的工程来用学到的东西多得多那我们现在就开始改怎么改呢我们先
[18:27] 启动一下这个项目启动完之后我们先看一看好
[18:38] 这个是我们上节课做完的项
[18:47] 目我们先看文字实验室这个页面左下角呢这个结果卡片区我们就先对它
[18:55] 下手其他项目呢其他的都原封不动我们就先把它改成React组件并且呢改完之后看一看
[19:03] 一个React组件到底长什么样好首先啊我们从这个访达里面把刚才我们看到
[19:11] 的那个组件先找出来那个是什么呢就是这个ResultCard在这个demo里面它是放在这个s
[19:20] rc然后下面components下面的对吧那我们就在我们的页面里面呢在我们的zero2tech这个项目
