[00:00] 大家好今天我们讲会话这个是很重要的知识同时呢也非常的有意思我们看这个页面文字实
[00:08] 验室分析一句中国人飞经过我们前面几节的操作用户查询的历史呢已经
[00:17] 存进数据库了我们可以用这个APIhistory接口然后把它查出来对吧但是现在在页
[00:25] 面里面还看不到这些历史记录如果你在这里刷新一下它就没了所以我们这一节呢先做一个小迭
[00:33] 代把这些历史记录显示在页面上怎么改呢主要就是改前端代码就在我们的dem
[00:41] o仓库里在这里面找到
[00:50] .这一节我们这一节不讲前端所以至于怎么改大家自己去仓库里面找到这一节
[00:59] 按照README的写法去改就行了其实也就是四个文件新增一个然后呢修改三个
[01:07] 这个demo仓库的地址大家都知道吧如果你不知道的话呢可以看视频下方的简介或者置顶的评论我会放进
[01:15] 去现在我已经改好了改完之后呢页面上就出现了这个历史记录的按钮点击它就可以看到
[01:23] 分析了哪些内容这个说白了背后就是这个APIhistory这个接口这没什么神秘
[01:31] 的那看起来还不错是吧但是我们接下来看一个现象我现在换一个浏览器打开这样的同
[01:39] 一个网址我原来用的是Chrome所以现在换这个SafariWindows用户呢大家
[01:48] 用Edge、Firefox都行或者你实在不想装的话用Chrome打开一个无痕窗口也可以进入到这个localhost
[01:56] 端口注意哈我现在在这个浏览器里面什么都不分析直接点开文字实验室的这个历史记录
[02:04] 大家看到了什么刚才我在Chrome里面打的那几句话全部出现在Safari的这个历史记录里面
[02:12] 这个是什么意思呢现在我模拟的是两个用户来访问同一个网站的场景
[02:20] 大家想如果这个网站的服务端我们发布到了服务器上在互联网上提供服务那么两个不同的人
[02:28] 各自通过自己的电脑访问这个文字实验室的时候遇到的情况就和现在一模一样所有人来访问这个文字
[02:37] 实验室看到的都是同一份历史记录你可以看这个示意图左边两个客户端
[02:45] 分别访问同一个后端然后他们各自分析了一句话然后都存到了数据库里
[02:53] 面对不对但是数据库存的时候根本就不去做区分接下来这两个人如果分
[03:01] 别要查历史记录查到的就是一模一样的这就麻烦了如果这个网站真的发布上线
[03:09] 我打的字所有陌生人都看得见别人打的字也全都堆在我的历史记录里面没有人会想要这样的
[03:17] 历史记录我们想要的显然是每个人都只能看到自己的那一份出现现在这样的局面本质上是因为
[03:25] 我们现在做的网站应用它是不认人的所有的访客记录混在一张表里面无论谁来查
[03:34] 都是查这张表的全部这个就是我们这一节要做的事就是让我们的网站能够认人不过在动
[03:42] 手之前我们得先把一件事弄明白那就是他为什么不认识人先看直接原因对
[03:50] 于服务端API来说它的任务就是处理前端发来的每一次HTTP请求
[03:58] 然后返回响应而处理这一次请求的时候留下的东西它不会延续到下一次我们在
[04:06] 前面的课程里面把HTTP拆开看过就是一个请求从前端到后端然后后端给出
[04:14] 响应这个响应再从后端到前端好这一轮就结束了所谓结束也就是说
[04:22] 这个请求处理完服务器就把这个请求给忘了下一个请求再来那么在服务端的眼里
[04:30] 它就是一个全新的陌生人发来的请求它不记得上一个是谁也不会认为这两个之间有什么关系所以
[04:39] 不是服务器不认人是它压根就没有留下来任何能够用来认人的东西这个处理
[04:47] 完就忘这个机制我们就叫做无状态无状态的英文是Stateless，HTTP
[04:55] 就是典型的无状态任意的两次形式两次请求，完全独立但是我们需要注意这个不认人
[05:03] 它也并不总是缺陷互联网上有大把的网站从头到尾都是不认人的比如说FastAPI的官网Vite的官
[05:11] 网还有我们这门课的这个课件网站就是李博老师.com他们不是认不出是压根都不需要认因为
[05:19] 访问网站的人呢只是读文档认得出访问者是谁这件事呢没什么意义所以就没必要费这个劲但是
[05:28] 如果一个应用要给每个人分别留住点什么信息的时候就需要认人了比如说历史记录购物车订
[05:36] 单那这些不认人就不行我们的文字实验室呢正好要做一个这样的历史记录所以呢就刚好走到了这
[05:44] 一步无状态这种设计很常见除了HTTP之外还有大模型API也是无状态的我们
[05:52] 来看一个例子还来到我们的这个DeepSeek的API来做演示
[06:00] 先进入这个DeepSeek的API文档然后呢复制这个curl命令把它
[06:09] 贴在这里我们再改点东西把这个打招呼的
[06:17] 这个Hello给它改成我的名字叫李博好
[06:28] 接下来呢接下来我们再把我们的这个APIKey填进
[06:36] 去注意哈大家一定要
[06:44] 保护好自己的这个APIKey不要给别人看现在你看到的这个APIKey呢在我录完视频之后我会给它
[06:52] 删掉的然后我们把这一段给它发出去
[06:58] 我们把这个给它发出去
[07:06] 看它回复哈好的李博我记住了有什么我可以帮你的吗这个是他的回复他说他
[07:14] 记住了是不是下面这个不用管下面这个是他思考过程就是他的回复就是这样一句话就是他记住了他记住我叫什么了
[07:23] 好那接下来呢我再调一次这一次我说呢我说什么我就问他
[07:31] 我叫什么名字然后我把这个请求我再发一遍他
[07:40] 说我目前不知道你的名字你可以告诉我然后我就可以用你的名字称
[07:48] 呼你了他说他不知道刚才才说我记一下了是吧然后呢现在又说
[07:56] 我不知道你叫什么名字这个不是模型笨是他根本就没有刚才这个概念对他来说呢我们发过
[08:04] 去的每一次请求都是他接到的第一条信息上一次调用发生过什么他就一无所知在大模型的
[08:12] 眼中就不存在所谓的上一次调用这个概念那这就是无状态你可能会想哎是不是因为
[08:21] 咱们这个是用http然后来去访问的然后因为http是无状态的所以这个大模型
[08:29] 才无状态的呀我告诉你不是大模型本身就是不留记忆的每一次调用都是独立的这儿一定又
[08:37] 有朋友要问哎那我平时用chaigptdeepseek的网页版或者是codexworkbody这些工具他们明明都记
[08:45] 得我上一句说了什么呀这个是因为有人在大模型的上一层做了一些事让他看似有了记忆具体
[08:53] 是怎么做的呢我们放在这一节的最后来说你先记着这个问题现在大家应该都已经完全理解了什么
[09:01] 叫做无状态了吧这个时候又有朋友问了这个为什么叫做无状态呀这个不是无记忆吗那我们
[09:09] 要说一说这个状态这个词对于没有计算机基础的中文母语者来说状态这个词其实
[09:17] 有点自带的误导性因为生活中我们用这个词的时候一般都是说你今天状态怎么样啊或者
[09:25] 保持记忆啊积极乐观的精神状态这样的造句让人以为它是一种健康指标但是作为一个计算机
[09:33] 术语它指的其实是一组参数我举个例子打一局游戏打到一半突然暂停那这个
[09:42] 时候这局游戏是什么样子我们在第几关剩多少血身上带了哪些装备某一个
[09:50] 机关有没有打开这一整套此刻的情况就是这局游戏的状态英文是state状态呢有两个特点
[09:58] 第一，它决定了下一步
[10:00] 不会怎么样写剩多少决定了下一刀扛不扛得住是吧你在第几关决定了你下一关能去哪状态不是
[10:08] 记着好玩的它影响接下来会发生什么第二它默认是会没的一关机这一局就白打
[10:16] 了所以游戏才要有存档存档干的事说白了就是把状态挪到一个更不容易丢的地方去比如说
[10:24] 硬盘理解了状态这个术语我们刚才说的HTTP处理完就忘这件事就可以描
[10:32] 述为HTTP的服务端处理完一次请求之后就不再保持这一轮的状态这就是无
[10:41] 状态为什么叫做无状态的原因其实我们ZeroTech这个项目走到现在好多地方都是在
[10:49] 跟状态打交道在学前端的时候我们演示过就是文字实验室的结果卡里面显示的内容刷新一下就全
[10:57] 没了那个是活在浏览器里面的状态在REPL里面练习Python的时候我们创建过刘关章三
[11:05] 个名字对吧退出RAPO就找不到了那个是活在内存里面的状态我们学了数据库之后把数
[11:13] 据库存到history.db关机从其他都还在那个是落在硬盘上的状态但是我们此
[11:21] 前一直关注的都是这些数据能够活多久是活过一次刷新一次运行还是关机也不会
[11:29] 丢对吧我们一路都是在给状态找一个活得更久的地方现在存到数据库已经是活得最久的方式
[11:37] 了但是我们眼下遇到的问题不是他活得久不久而是他能不能活过两次不同的请求也就是我们要关心一个用户
[11:45] 发的两条请求能不能共享状态既然http是无状态的我们反过来问一句那有状态是
[11:53] 长什么样我们用过有状态的连接ssh就是有状态的大家看我用那个ssh登录上我们
[12:05] 的云服务器
[12:15] 现在我是在家目录然后呢我cd到这个
[12:23] /var/log再敲这个pwd他知道我在哪是吧那我敲下一条命令比如说ls
[12:32] 他知道我现在在哪个目录下面这个就是有状态服务器呢帮我维持了一个现场后一
[12:40] 条命令是接着前一条命令往下敲的那这个状态什么时候丢呢我就这样exit退出一下然后
[12:48] 接下来如果我再进去
