[00:00] 究竟什么是API不止一个人问过我这个问题就在最近我有一个在医院
[00:08] 工作的朋友跟计算机行业可以说是不沾边有一天他也来问我李博这个API到底是个什么
[00:17] 意思那他为什么会好奇呢我问了一下才知道原来他是听说Claude特别厉害想要用一下然后
[00:25] 就找了个渠道人家说提供的是API他问了问豆包又问了问DeepSeek看了一圈呢也没有理解于
[00:33] 是就问了我大家好我是李博老师今天这一期我们就从这个问题开始究竟
[00:41] 什么是API先说一个有纪念意义的事我们零到全栈系列课程的
[00:49] 前端部分到上一期.发布上线为止已经全部讲完了从今天这一期开始我们正
[00:58] 式进入后端部分之前我说过大家对后端有什么想听的可以在评论区留言收到了不少朋友的
[01:06] 反馈其中有一个呼声比较高的是数据库这个呢我也已经安排进课程里了后面的模块会专门讲
[01:14] 大家放心那后端的第一课为什么是API呢因为这个词现在几乎无处不在
[01:22] 只要是做开发无论是地图还是天气无论是这个航班动态查询还是快递查
[01:30] 询以及各种大模型AIagent文本识别都可能会用到API无论你是想做web开发
[01:38] 做手机app还是想要认真理解AI时代的这些新东西都绕不开它而且我们的课程正好也走
[01:46] 到这了你还记得吗就是我们文字实验室的那一页给大家看一下
[01:58] 也就是这一页点这个开始分析按钮是没有反应的这个拼音和
[02:06] 情感分数都是写死的假数据要让他们真的能够算就得给网站补上一个后端而前
[02:14] 端和后端之间怎么对话呢靠的也是API有些人讲API的时候喜欢做比喻比如说
[02:22] 把API比喻成餐厅的后厨服务员点菜之类的我个人觉得这种比喻有时候适得其反听的人
[02:31] 当时点点头过后呢就更迷糊了所以今天我们不做比喻想要理解什么是API我认为最快
[02:39] 的方式就是亲自找一个真的API调用一下调完之后你自己就知道它是什么了将来你要
[02:47] 是在自己做一个API出来那就完全通透了学概念类的东西我觉得都是这样没用过
[02:55] 的东西很难解释用过一类的东西两次的东西不需要解释好那我们现在就先找一个
[03:04] 用一下我们先调一个零门槛的不用注册不用花钱也不用申请任何东西我们看
