[00:00] 哈喽大家好不知不觉从我们五月份开始发布零到全栈的第一个视频到现在呢已经快要两
[00:08] 个月了李博老师这个账号也从最开始的几十个粉丝来到了一万粉丝的节点这个是我未曾
[00:16] 想到的原来计划两个月就把这个系列做完没想到真的做的时候才发现每一节都
[00:24] 这么的耗时这个也是我未曾想到的那到现在我们的前端部分都还没讲完所以非常感谢
[00:32] 大家的认可和支持也非常感谢大家的耐心那接下来呢我也会坚持把这个系列的视频做
[00:40] 完关于后端大家如果有什么困惑的也可以评论或者弹幕留言我在设计后端的课程的时候也会考虑添加
[00:48] 进去还是那句话我们这个课程呢不讲编程和语法主要呢还是讲概念和理念
[00:56] 如果大家想要学的更深入那么我们这个课堂里面讲到的这些工具无论是Vite还是React以及
[01:05] 今天会讲到的NEXTJS他们的官网也都有比较详实的教程也推荐大家去看一看
[01:13] 官网的教程和案例这样呢可以和我们这个系列的内容呢互相做一个补充和印证好
[01:21] 那我们现在就开始今天的内容今天我们就来到了前端的第五讲这一节咱们
[01:29] 介绍Next.js这个所谓的React生产级框架在上一节的结尾我们是把我们
[01:37] 的React项目推到了服务器上然后发布到了官网但是在发布之后遗留了一个小问题
[01:45] 就是这个在地址栏直接访问我们的网站没有问题切换页面也
[01:53] 没有问题但是如果用IP后面直接访问我们的网站直接带着这个TextLab来去访问的话它
[02:01] 就报了个关于
[02:05] 这个事儿我们先搁置一下我们先看一看现在网站上线之后它是怎么响应用户的浏览器
[02:13] 访问的我们打开浏览器的开发者工具在Chrome上右键选择检查
[02:21] 或者按F然后呢切换到Network这个面板刷新一下打开页面你看
[02:30] 这个加载顺序浏览器第一步先是拿到了这个HTML
[02:38] 这个就是index.html但是我们打开这个response看一看它几乎是空
[02:46] 的body里面呢只写了一个这个ID等于root这个就是我们之前讲的挂载点其他啥内容都
[02:55] 没有拿到这个HTML之后呢然后才会下载这两个文件一个JS一个CSS
[03:03] 所以其实这三个文件是有顺序的服务器先把HTML推给浏览器然后
[03:11] HTML里面声明了它需要加载的这两个文件然后浏览器才会去请求这两个文件只不过这个速度比较
[03:19] 快所以我们的肉眼可能感觉不到不过在刚才我们的请求里面看上去好像也没有那么快都已经干到五
[03:27] 秒了那我们看到的这个页面是怎么呈现的呢是这样的就浏览器需要先拿到这个
[03:36] JS并且呢去执行这个JS的代码然后页面的内容呢才能够被画出来我们把这个过程啊在slides
[03:44] 上拆解一下我们详细看哈首先第一步是浏览器请求
[03:52] 回来一个HTML文件然后呢发现这个HTML文件它依赖一个CSS和一个
[04:01] JS然后浏览器再去请求CSS和JS请求回来之后JS代码它在
[04:09] 浏览器上执行再绘制出来我们的页面然后呢填充到HTML的挂载点上
[04:17] 一般情况下这个速度会比较快现在看上去感觉还行但是这里面其实会有几个问题第一个呢就是上一节采
[04:25] 到的那个坑我们直接访问一下我们TextLab它会报
[04:30] 这是为什么呢我们还是去看一看网页现在我们看到的是已经完全加载完成的
[04:38] 状态这个时候我们的那个APP超级大组件它里面写的那个逻辑其实已经打进这个JS
[04:46] 文件了并且呢JS文件也已经在浏览器上跑起来了那它就是能够认识URL里面这个Text
[04:54] Lab所以这个时候可以是实现页面的切换但如果我们上来就请求这个
