[00:00] 大家好欢迎回来上一节我们学了数据库现在呢大家应该已经会见表会增删改查会用问
[00:08] 号房注入还知道了索引虽然学会了这些知识但是我们的ZeroTech这个项目
[00:16] 到现在为止还一点都没用上它项目里面承担存储职责的还是上上一节我们自己写
[00:25] 的那个history.json那这一节我们就来改造一下我们的这个项目把history.
[00:32] json换掉用数据库来记录文字实验室的历史这一节我们只动存储层Python代码
[00:40] 会改不少但是我们不会破坏接口的约定所以前端也不会变那这就是我们今天的目标我们现在开始
[00:48] 把存储层换成数据库听起来像是一件事但是
[00:56] 真的落到代码里面得动好几处所以我们在动手之前呢先把这个main.py
[01:04] 这个文件从头到尾的再看一遍看这个文件现在到底在做哪些事情这个文件现在也就
[01:12] 几十行代码量不多但是做的事情还挺杂我们我们仔细看它里面其实承担了三种完全不同
[01:20] 的职责第一种是接口层就是这些@app.get@app.post这些
[01:29] 函数他们是对外的门管的是接收什么响应什么第二种呢是业务层比如
[01:37] 说算情感分算拼音把这个结果拼成一条记录他们管的是这件事本身该怎么
[01:45] 做第三种就是存储层所有的跟东西存在哪儿怎么存怎么取打交道的
[01:54] 代码都属于这一层这三层写在同一个文件里面行不行呢不同的层写在同一个文件里面其实没问题我们
[02:02] 的项目还比较小所有的代码归了包兑也就这几十行只要是职责清晰就没必要拆成不同的文件分层
[02:10] 分的应该是职责不是文件那现在我们的代码职责清晰吗我们也看一下如果
[02:18] 要认真看的话那其实也够呛我们看一下这个接口就这个黑色的吧这
[02:26] 一行读出来文件的全部记录倒序排序切前两个大家想一想这
[02:34] 三行代码是在干什么这个是取数据的手法地地道道的存储层的活可是它现在写在哪
[02:42] 呢它写在了这个接口函数里面上上一节我们这么写因为就是三行代码嘛图个简单快捷但是
[02:51] 今天就不一样了这个写法呢会带来麻烦为什么呢因为我们今天要换存储换成数据库之后呢这三行会变
[02:59] 成什么会变成一句SQL语句对吧那它要是继续呆在接口函数里面我们今天要改的时候就不只是
[03:07] 动存储层了我们还得把手伸到这个接口函数里面去改所以在真正的切换存储之前
[03:15] 我们要先给main.py做一次小小的重构前面学前端的时候也做过重构大家还记得吗
[03:23] 最早把一个HTML文件拆成了一个HTML一个CSS和一个JS文件那个
[03:31] 就是重构重构的基本思路就是重新划分代码的职责用一种更好管理的方式来组织代
[03:39] 码这里面有一条纪律大家一定要记住重构的时候功能一点都不能变重构只挪
[03:48] 位置不改行为重构完之后跑一边代码但凡有一点不一样那就说明我们重构有问题这
[03:56] 条原则很重要我们也会用它来指导我们的重构工作并且验收我们的重构成果那怎么重构呢在
[04:04] 这个项目里面接口层和业务层着实是比较简单但是存储的
[04:12] 东西就多了一些现在是存文件马上我们要换成数据库又是读又是写的所以
[04:20] 我们的方案就是把存储层单独的拆出来一个文件这个文件我们就给它
[04:28] 命名为storage.py剩下的接口层和业务层继续待在这个main.
[04:34] py里面这里面肯定有同学要问既然是三层那为什么只拆成两个文件呢这是个好问题
[04:42] 因为拆分需要由需求驱动我们不要为了对应那个分层而去拆大家看啊今天我们
[04:50] 要换的是存储所以今天就值得给存储层单独立一道边界那这个接口层和业务层今天我们不需要改
[04:58] 它们的什么东西那把它俩拆开呢就换不来任何的好处还会多一层来回跳转的成本那什么
[05:07] 时候才应该给这个业务层也单开一个文件呢等到它涨到我们一眼看不出它的边界
[05:15] 在哪的那一天我们也就该拆它了怎么理解这个边界这个词啊大家想一想之前。
[05:22] 那一节我们那个时候给业务层换过一次分析内核就换这个开始的那些值换
[05:30] 成这个snowlp啊还有这个拼音啊那一次没拆文件也很轻松因为要换的东西就窝在这样的一个
[05:38] 函数里面抬眼就能够看全但是今天要换的存储层它是一个这个
[05:47] 一个这个常量然后再加上这里面好几个函数就像这些这些这些都是存储层的函数它散落在文件的
[05:55] 各处边界看不见了才需要用文件把它框出来再说文件名为什么要叫做
[06:03] storage.py而不叫db.py或者是sqlite.py这个也是有说法的因为这
[06:11] 一层的身份是存储层不是数据库用来实现存储的本来是一个json文件一会儿呢变成
[06:20] sqlite后面还可能会变成postgresql实现方式换了好几轮但是它的职责一直没变就是
[06:28] 做存储层我们给一个东西起名字最好就是用它的职责起名字不要用实现起名字大家回
[06:36] 头看这个saveRecord和这个loadHistory这些函数名是不是也是一样它里面就不会有什么
[06:44] 文件或者是sql这些词那以后我们就算改了它的实现这个名字也不用变名字不变
[06:52] 带来的好处就是调用它的调用方也不需要跟着变那这么一通分析今天要做的是什么我们来做的事情就很清楚了分
[07:01] 两步走第一步是搬家把存储层原样的搬进storage.py
[07:09] 注意啊是原样功能一点都不变不用数据库存储呢还是用那个history.
[07:15] json第二步是装修把storage.py整个换成sqlite版这一步main.
[07:22] py几乎就不用动了有同学可能会问哈为什么要分两步呢一边搬二边改不行吗不行这个
[07:30] 是因为搬坏了和改坏了是两种完全不同的问题我们搬完先跑一遍如果说一切照
[07:38] 旧那就说明搬对了然后再去装修装修完呢再跑一遍这个时候如果要是坏了那一定是装修弄
[07:46] 的范围一下就锁死了一次只做一件事出了问题呢范围才小就算是一切让AI来
[07:54] 做也建议分两步那对应一个git提交因为代码虽然是AI写的但是最终责
[08:02] 任人还是我们自己嘛分成两步呢我们在做验收的时候也更轻松一些而且再往深一层说这两件事
[08:11] 性质本来也就不一样刚才我们说重构的纪律是功能一点都不变这一条其实不是我额外加的纪律啊它
[08:19] 就是重构这个词的定义业内对重构的定义是在不改变外部可观察行
[08:27] 为的前提下调整代码的内部结构如果行为变了那它就不叫重构了所以大家看啊重构这件
[08:35] 事呢它本身就自带了一把尺子那就是行为不变重构完跑一遍如果说不
[08:43] 一样那就是错了但是第二步装修它就不是重构了是换了一种实现换实现的行为本来就该变因为数据
[08:51] 都换地方了它就没有这把尺子如果我们把两件事混在一起做那尺子就废了如果我们混着一起改结
[08:59] 果不对我们就分不清是搬错了还是换错了明确了这个事儿呢我们就知道我们先做第一步开始搬家首先
[09:08] 我们在这个backend下面去新建一个文件新建一个st
[09:17] oragestorage.py然后回到这个
[09:25] main.py里面把所有的属于存储层的东西剪切过去注意是剪切不是
[09:33] 复制有哪些呢首先是这个importjson这一行剪切
[09:44] 还有这个historyfile这个json文件地
[09:52] 址的长量然后是这两个这个是loadhistory
[10:00] 加载所有的历史数据然后这个是存数据我们把它都给搬过来另外还有一个
[10:08] 就是刚才我们在这看啊我们说它职责不清晰的这几行代码我们把它们从接口函
[10:17] 数里面剪切出来搬回到这个存储层然后呢原样包成一个新的函数
[10:30] 先这样
[10:44] 写名字就叫它get_history先不改这个
[10:52] 地方这个它一直提醒我们要给这个加个参数但是我们刚才说了ban就是
[11:00] ban先不改这些行为这些做完那这个storage.py就已经改完了现在我们回到这个
[11:09] main.py这里面还要做几件事首先顶部这里原来这里面有一个importjson现在没
[11:17] 了因为搬走了嘛但是我们要添加一行新的import这样fromstorage
[11:27] 然后import这个saverecord和这个gethistory另外
[11:42] 呢就是刚才这个函数就是那三样我们捡走了嘛等于是我们把它的这个心给挖走了
[11:50] 它现在没有return了我们得给它补一个就补上一个这个written
[11:58] 啊gethistory就改这些其余的一个字都不用动大家也可以看一下我们的这个课件哈在课
[12:06] 件这一节里面我贴了这个ban完之后的完整的样子就ban完
[12:15] 之后storage.py应该是长这样然后呢这个man.py应该是长这样大家
[12:23] 可以对着核对一遍不要ban错了ban完之后我们也别急着往下走啊我们先跑一遍这个
[12:31] 程序呢本来我就是正在这里运行着我可以把这个服务端给它重
